place,place_name,state_or_province,meeting_date,meeting_time,committee_name,meeting_id,asset_name,asset_type,url,scraped_by,content-type,content-length
Antioch,Contra Costa,California,2024-11-18,,Antioch Police Oversight Commission,,,agenda,https://www.antiochca.gov/fc/government/agendas/apoc/agendas/111824.pdf,Marc-Scraper,,
Antioch,Contra Costa,California,2024-11-04,,Antioch Police Oversight Commission,,,agenda,https://www.antiochca.gov/fc/government/agendas/apoc/agendas/110424.pdf,Marc-Scraper,,
Antioch,Contra Costa,California,2024-10-21,,Antioch Police Oversight Commission,,,agenda,https://www.antiochca.gov/fc/government/agendas/apoc/agendas/102124.pdf,Marc-Scraper,,
Antioch,Contra Costa,California,2024-10-07,,Antioch Police Oversight Commission,,,agenda,https://www.antiochca.gov/fc/government/agendas/apoc/agendas/100724.pdf,Marc-Scraper,,
Antioch,Contra Costa,California,2024-09-16,,Antioch Police Oversight Commission,,,agenda,https://www.antiochca.gov/fc/government/agendas/apoc/agendas/091624.pdf,Marc-Scraper,,
Antioch,Contra Costa,California,2024-08-19,,Antioch Police Oversight Commission,,,agenda,https://www.antiochca.gov/fc/government/agendas/apoc/agendas/081924.pdf,Marc-Scraper,,
Antioch,Contra Costa,California,2024-08-19,,Antioch Police Oversight Commission,,,minutes,https://www.antiochca.gov/fc/government/agendas/apoc/minutes/081924.pdf,Marc-Scraper,,
Antioch,Contra Costa,California,2024-08-05,,Antioch Police Oversight Commission,,,agenda,https://www.antiochca.gov/fc/government/agendas/apoc/agendas/080524.pdf,Marc-Scraper,,
Antioch,Contra Costa,California,2024-08-05,,Antioch Police Oversight Commission,,,minutes,https://www.antiochca.gov/fc/government/agendas/apoc/minutes/080524.pdf,Marc-Scraper,,
Antioch,Contra Costa,California,2024-07-01,,Antioch Police Oversight Commission,,,agenda,https://www.antiochca.gov/fc/government/agendas/apoc/agendas/070124.pdf,Marc-Scraper,,
Antioch,Contra Costa,California,2024-07-01,,Antioch Police Oversight Commission,,,minutes,https://www.antiochca.gov/fc/government/agendas/apoc/minutes/070124.pdf,Marc-Scraper,,
Antioch,Contra Costa,California,2024-06-17,,Antioch Police Oversight Commission,,,agenda,https://www.antiochca.gov/fc/government/agendas/apoc/agendas/061724.pdf,Marc-Scraper,,
Antioch,Contra Costa,California,2024-06-17,,Antioch Police Oversight Commission,,,minutes,https://www.antiochca.gov/fc/government/agendas/apoc/minutes/061724.pdf,Marc-Scraper,,
Antioch,Contra Costa,California,2024-06-03,,Antioch Police Oversight Commission,,,agenda,https://www.antiochca.gov/fc/government/agendas/apoc/agendas/060324.pdf,Marc-Scraper,,
Antioch,Contra Costa,California,2024-06-03,,Antioch Police Oversight Commission,,,minutes,https://www.antiochca.gov/fc/government/agendas/apoc/minutes/060324.pdf,Marc-Scraper,,
Antioch,Contra Costa,California,2024-05-20,,Antioch Police Oversight Commission,,,agenda,https://www.antiochca.gov/fc/government/agendas/apoc/agendas/052024.pdf,Marc-Scraper,,
Antioch,Contra Costa,California,2024-05-20,,Antioch Police Oversight Commission,,,minutes,https://www.antiochca.gov/fc/government/agendas/apoc/minutes/052024.pdf,Marc-Scraper,,
Antioch,Contra Costa,California,2024-05-06,,Antioch Police Oversight Commission,,,agenda,https://www.antiochca.gov/fc/government/agendas/apoc/agendas/050624.pdf,Marc-Scraper,,
Antioch,Contra Costa,California,2024-05-06,,Antioch Police Oversight Commission,,,minutes,https://www.antiochca.gov/fc/government/agendas/apoc/minutes/050624.pdf,Marc-Scraper,,
Antioch,Contra Costa,California,2024-04-15,,Antioch Police Oversight Commission,,,agenda,https://www.antiochca.gov/fc/government/agendas/apoc/agendas/041524.pdf,Marc-Scraper,,
Antioch,Contra Costa,California,2024-04-15,,Antioch Police Oversight Commission,,,minutes,https://www.antiochca.gov/fc/government/agendas/apoc/minutes/041524.pdf,Marc-Scraper,,
Antioch,Contra Costa,California,2024-04-01,,Antioch Police Oversight Commission,,,agenda,https://www.antiochca.gov/fc/government/agendas/apoc/agendas/040124.pdf,Marc-Scraper,,
Antioch,Contra Costa,California,2024-04-01,,Antioch Police Oversight Commission,,,minutes,https://www.antiochca.gov/fc/government/agendas/apoc/minutes/040124.pdf,Marc-Scraper,,
Antioch,Contra Costa,California,2024-03-18,,Antioch Police Oversight Commission,,,agenda,https://www.antiochca.gov/fc/government/agendas/apoc/agendas/031824.pdf,Marc-Scraper,,
Antioch,Contra Costa,California,2024-03-18,,Antioch Police Oversight Commission,,,minutes,https://www.antiochca.gov/fc/government/agendas/apoc/minutes/031824.pdf,Marc-Scraper,,
